model,dataset,method,run,EM,F1,Precision,Recall,retrieve_count,generate_count,hallucinated_count,token_count,sentence_count
llama-3.1-8B,2wikimultihopqa,Dragin,1,0.11,0.2114843306176375,0.1940568218168888,0.3812119047619047,0.87,1.889,,96.339,8.049
llama-3.1-8B,2wikimultihopqa,FLARE,1,0.092,0.1900860253382137,0.1668599845322264,0.3909238095238095,0.983,1.983,,128.895,10.729
llama-3.1-8B,2wikimultihopqa,non-retrieval,1,0.11,0.2114843306176375,0.1940568218168888,0.3812119047619047,0.0,1.0,,51.0,4.341
llama-3.1-8B,2wikimultihopqa,sae,1,0.29,0.3595922925028187,0.3623261363636363,0.3687531746031746,0.004,4.122,,210.114,17.536
llama-3.1-8B,2wikimultihopqa,single-retrieval,1,0.11,0.2114843306176375,0.1940568218168888,0.3812119047619047,1.0,1.0,,51.0,4.346
llama-3.1-8B,hotpotqa,DRAGIN,0,0.212,0.3144294413077656,0.3257894399144551,0.3611021825396825,0.971,1.983,0.971,101.114,6.928
llama-3.1-8B,hotpotqa,non-retrieval,1,0.251,0.351318308119469,0.3754618797868798,0.3490573412698413,0.0,1.0,0.0,50.996,3.933
llama-3.1-8B,hotpotqa,sae,10,0.0,0.0,0.0,0.0,0.005,5.015,,254.538,22.293
llama-3.1-8B,hotpotqa,single-retrieval,1,0.238,0.3323054667554668,0.353752086656034,0.3324103174603175,1.0,1.0,0.0,51.0,3.91
Llama-3.1-8B-Instruct,musique,FLARE,1,0.005,0.0628903429744901,0.0509588284842242,0.1792369047619047,1.001,2.002,,201.066,15.067
llama-3.1-8B,musique,non-retrieval,1,0.005,0.0628903429744901,0.0509588284842242,0.1792369047619047,0.0,1.0,,50.987,4.236
llama-3.1-8B,musique,saet,1,0.119,0.2017972243442831,0.2233396825396825,0.1980956349206349,0.003,5.989,,305.149,31.46
llama-3.1-8B,musique,saet_0_2,0,0.119,0.2017972243442831,0.2233396825396825,0.1980956349206349,0.003,5.989,,305.149,31.46
llama-3.1-8B,musique,single-retrieval,1,0.005,0.0628903429744901,0.0509588284842242,0.1792369047619047,1.0,1.0,,51.0,3.802
llama-3.1-8B,nq,Dragin,1,0.0,0.1068461683868264,0.0639346777109238,0.4434833333333333,0.418,1.572,,80.172,2.955
Llama-3.1-8B-Instruct,nq,FLARE,1,0.0,0.103565574816068,0.0616590930429624,0.4367166666666666,0.979,1.98,,199.979,5.374
llama-3.1-8B,nq,SAETRAG,1,0.099,0.1587181017812596,0.1695726093351093,0.17685,0.003,6.125,,312.186,21.561
llama-3.1-8B,nq,non-retrieval,1,0.0,0.1063115651355452,0.0635335859179366,0.4421333333333333,0.0,1.0,,51.0,1.868
llama-3.1-8B,nq,single-retrieval,1,0.0,0.1070341993425595,0.0638070773197701,0.4488666666666667,1.0,1.0,,51.0,1.436
llama-3.1-8B,squad,Dragin,1,0.0,0.1518612176437786,0.098586628305475,0.3905704184704184,1.08,2.417,,123.267,5.336
Llama-3.1-8B-Instruct,squad,FLARE,1,0.0,0.1390645772268901,0.0901689769823586,0.3567033189033188,0.984,1.984,,200.384,6.652
llama-3.1-8B,squad,non-retrieval,1,0.0,0.150055193442537,0.0971450889624651,0.3861204184704185,0.0,1.0,,51.0,2.115
llama-3.1-8B,squad,single-retrieval,1,0.0,0.1549569447661792,0.1007534644105464,0.3955537518037518,1.0,1.0,,51.0,2.213
llama-3.1-8B,tqa,Dragin,1,0.0,0.2474080270994068,0.1537408433710812,0.8072333333333334,1.091,2.374,,121.069,5.833
Llama-3.1-8B-Instruct,tqa,FLARE,1,0.0,0.2442278396602276,0.1516745987199934,0.7965595238095239,0.966,1.968,,198.766,8.325
llama-3.1-8B,tqa,non-retrieval,1,0.0,0.2475229732160921,0.1538457703012875,0.8075666666666667,0.0,1.0,,51.0,2.406
llama-3.1-8B,tqa,single-retrieval,1,0.0,0.2472380364237249,0.1535471341120553,0.8083166666666666,1.0,1.0,,51.0,2.29
